folder_name	RGID	RGLB	RGPL	RGPM	RGSM	RGDS1	RGDS2	RGPU
fa4a9999-ab16-4c05-88a4-bdf4cc4f39c1	SRR3052193	SRR3052193_LB	ILLUMINA	HiSeq2000	D_Normal_donor_1991_with_ERCC	Smart-seq2	normal	SRR3052193_PU
7a551732-e01e-4931-b4c5-fded873eabae	SRR5296885	SRR5296885_LB	ILLUMINA	HiSeq4000	D_CML656	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5296885_PU
6e4dc6c0-4d98-4e79-9f13-cf343086b8de	SRR5296952	SRR5296952_LB	ILLUMINA	HiSeq4000	D_CML25	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5296952_PU
98ff9fb0-6d05-4a68-8517-4b18f7918054	SRR3052777	SRR3052777_LB	ILLUMINA	HiSeq2000	D_OX2046	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052777_PU
3d04c55c-cb67-4824-a4dc-63a8a3813e80	SRR3052204	SRR3052204_LB	ILLUMINA	HiSeq2000	D_Normal_donor_1991	Smart-seq2	normal	SRR3052204_PU
2ae3eac4-c5d5-4d17-9a57-cfdcb7bf7baf	SRR3052925	SRR3052925_LB	ILLUMINA	HiSeq2000	D_OX714	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052925_PU
c295c54c-0de9-4037-a755-5afb7b38e67c	SRR5290076	SRR5290076_LB	ILLUMINA	HiSeq4000	D_OX2286	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5290076_PU
0895029c-ba18-4605-9405-b8251eb94778	SRR3052305	SRR3052305_LB	ILLUMINA	HiSeq2000	D_OX1302	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052305_PU
367f763f-f71b-4c5c-ae1e-c7cbe034e587	SRR5290454	SRR5290454_LB	ILLUMINA	HiSeq4000	D_CML1266	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5290454_PU
1107f693-e70c-4313-8c1b-53accacba594	SRR5290001	SRR5290001_LB	ILLUMINA	HiSeq4000	D_OX710	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5290001_PU
d3fdca4f-1ed3-4045-bd80-d84af7b6ea3f	SRR3052820	SRR3052820_LB	ILLUMINA	HiSeq2000	D_OX2046	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052820_PU
213d6f1a-8f9a-4a30-a0ac-0c652e9671fa	SRR3052713	SRR3052713_LB	ILLUMINA	HiSeq2000	D_OX2038	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052713_PU
7170cae0-6daf-4910-9ea3-d9c858fa37df	SRR3052361	SRR3052361_LB	ILLUMINA	HiSeq2000	D_OX1407	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052361_PU
f9d4d504-62bf-4bd6-8a89-3d9265a1f7ab	SRR5296962	SRR5296962_LB	ILLUMINA	HiSeq4000	D_CML25	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5296962_PU
763973a9-5c36-495c-bf2e-5a22bdaaa335	SRR3052912	SRR3052912_LB	ILLUMINA	HiSeq2000	D_OX664	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052912_PU
2fd6e52d-ec99-45a2-9f2a-708e367ff2d8	SRR3052291	SRR3052291_LB	ILLUMINA	HiSeq2000	D_OX1302	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052291_PU
b5e3cf3f-bf97-434b-b02c-edab391427b1	SRR5290460	SRR5290460_LB	ILLUMINA	HiSeq4000	D_CML1266	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5290460_PU
bb0bfb5e-af0b-4c1e-b462-1356bacd4f97	SRR3052773	SRR3052773_LB	ILLUMINA	HiSeq2000	D_OX2046	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052773_PU
e68502cf-b430-4e74-96d4-c8ecd0a408f5	SRR5290139	SRR5290139_LB	ILLUMINA	HiSeq4000	D_CML656	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5290139_PU
cf40fcab-bbb2-49ae-920e-64dd6d44de28	SRR3052563	SRR3052563_LB	ILLUMINA	HiSeq2000	D_OX1931	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR3052563_PU
8507ecd5-f19d-4454-89a8-d39ac6a28f53	SRR5290494	SRR5290494_LB	ILLUMINA	HiSeq4000	D_CML1266	Smart-seq2	atypical-chronic-myeloid-leukemia	SRR5290494_PU
